win_rate_pct,profit_factor,net_pnl,trades,wins,losses,expectancy_R,max_drawdown_pct,final_equity,initial_equity,symbol
35.741444866920155,1.1158008865993296,959.2613408994548,526,188,338,0.07224334600760456,-13.763596259851981,10959.261340899455,10000.0,USDJPYm
35.333333333333336,1.0890000781127152,217.69643808025648,150,53,97,0.06,-12.87461634340747,10217.696438080256,10000.0,sample
35.18164435946463,1.08021709533619,715.9317971708679,523,184,339,0.055449330783938815,-15.239251929029008,10715.931797170868,10000.0,CADJPYm
33.69565217391305,1.0123534793315234,38.530912167927454,184,62,122,0.010869565217391304,-7.957661979921614,10038.530912167927,10000.0,LINKUSDm
33.13953488372093,0.9867533071619563,-106.53175530915541,516,171,345,-0.005813953488372093,-23.400985212698163,9893.468244690845,10000.0,NZDJPYm
32.826086956521735,0.9725649026734807,-201.42836265627193,460,151,309,-0.015217391304347827,-21.016457970093363,9798.571637343728,10000.0,GBPJPYm
31.752577319587626,0.9281747436212426,-586.6359834810773,485,154,331,-0.04742268041237113,-18.19337743510092,9413.364016518923,10000.0,NZDCADm
31.3588850174216,0.9118214677923894,-846.7476973752109,574,180,394,-0.059233449477351915,-19.198760876716626,9153.252302624789,10000.0,GBPCADm
31.376146788990827,0.9094741738781799,-799.2593172820834,545,171,374,-0.05871559633027523,-28.722997826037044,9200.740682717917,10000.0,EURUSDm
31.472081218274113,0.9091804649745365,-824.8377683381586,591,186,405,-0.05583756345177665,-32.08187525005999,9175.162231661841,10000.0,USDCADm
29.82062780269058,0.8461290929423244,-1132.0083010020935,446,133,313,-0.10538116591928251,-18.57294409352662,8867.991698997906,10000.0,AUDNZDm
29.523809523809526,0.8445578580504802,-1419.468598392701,525,155,370,-0.11428571428571428,-24.86198299946333,8580.531401607299,10000.0,USOILm
28.932038834951456,0.821001727401833,-1588.6404613687992,515,149,366,-0.13203883495145632,-20.048658972590015,8411.3595386312,10000.0,EURAUDm
28.85304659498208,0.8010529656895613,-1736.5962437667713,558,161,397,-0.13440860215053763,-24.4513395477026,8263.403756233229,10000.0,EURCADm
28.061224489795915,0.7759688688913505,-1455.1228665491399,392,110,282,-0.15816326530612246,-16.632369792482116,8544.87713345086,10000.0,GBPNZDm
27.7992277992278,0.7538029798801449,-1958.4619149333766,518,144,374,-0.16602316602316602,-34.45144696489113,8041.538085066623,10000.0,US30m
