symbol,initial_equity,final_equity,net_pnl,trades,wins,losses,win_rate_pct,profit_factor,expectancy_R,max_drawdown_pct
GBPNZDm,10000.0,401.41478888266,-9598.58521111734,518,122,396,23.552123552123554,0.5166224713260233,-0.29343629343629346,-96.42720695670336
NZDCHFm,10000.0,41.77212609447276,-9958.227873905527,580,105,475,18.103448275862068,0.5164315217003433,-0.45689655172413796,-99.59643705905523
EURJPYm,10000.0,74.33858850003669,-9925.661411499963,575,113,462,19.652173913043477,0.5056381016790702,-0.41043478260869565,-99.7993815083427
UNIUSDm,10000.0,213.811431535629,-9786.188568464371,508,108,400,21.25984251968504,0.5034917188705438,-0.36220472440944884,-98.02084981177228
EURGBPm,10000.0,165.04228622587078,-9834.957713774129,662,156,506,23.564954682779458,0.49947658440892495,-0.2930513595166163,-98.34957713774128
LINKUSDm,10000.0,147.5751481344034,-9852.424851865597,544,114,430,20.955882352941178,0.4989902028565089,-0.3713235294117647,-98.85022777205646
AUDJPYm,10000.0,322.97246971213895,-9677.027530287862,567,135,432,23.809523809523807,0.4984042685574681,-0.2857142857142857,-97.88706650333965
AUDUSDm,10000.0,99.70274164252437,-9900.297258357476,584,121,463,20.71917808219178,0.4905550815013454,-0.3784246575342466,-99.00297258357476
BNBUSDm,10000.0,264.5346377806166,-9735.465362219384,621,150,471,24.154589371980677,0.4863155863648191,-0.2753623188405797,-98.15250751806735
AUS200m,10000.0,54.25416539214077,-9945.745834607858,570,106,464,18.596491228070175,0.4571841204999391,-0.4421052631578947,-99.51653828564068
EURNZDm,10000.0,440.44196438278703,-9559.558035617212,584,146,438,25.0,0.4533061883903915,-0.25,-95.62269225471825
UK100m,10000.0,31.745375694179067,-9968.25462430582,623,115,508,18.45906902086677,0.4441970190104222,-0.4462279293739968,-99.72799547269857
GBPJPYm,10000.0,317.6399420629449,-9682.360057937056,559,132,427,23.613595706618963,0.42825643420873805,-0.29159212880143115,-99.12839009957192
FR40m,10000.0,16.471922372723608,-9983.528077627276,579,89,490,15.3713298791019,0.4276106190420099,-0.538860103626943,-99.87136122609645
