time,open,high,low,close,tick_volume,spread,real_volume
2026-04-16 19:30:00,93.728,93.73,93.707,93.718,161,14,0
2026-04-16 19:45:00,93.721,93.728,93.702,93.717,160,14,0
2026-04-16 20:00:00,93.719,93.73,93.704,93.729,126,14,0
2026-04-16 20:15:00,93.728,93.73,93.714,93.719,82,14,0
2026-04-16 20:30:00,93.721,93.757,93.721,93.757,56,14,0
2026-04-16 20:45:00,93.754,93.755,93.708,93.725,102,14,0
2026-04-16 21:00:00,93.702,93.738,93.702,93.735,24,83,0
2026-04-16 21:15:00,93.734,93.758,93.663,93.704,138,89,0
2026-04-16 21:30:00,93.71,93.737,93.693,93.734,137,64,0
2026-04-16 21:45:00,93.736,93.76,93.726,93.744,121,53,0
2026-04-16 22:00:00,93.738,93.738,93.657,93.675,107,43,0
2026-04-16 22:15:00,93.671,93.694,93.671,93.692,57,43,0
2026-04-16 22:30:00,93.697,93.732,93.697,93.724,50,43,0
2026-04-16 22:45:00,93.722,93.725,93.7,93.711,34,43,0
2026-04-16 23:00:00,93.726,93.752,93.726,93.732,65,14,0
2026-04-16 23:15:00,93.734,93.764,93.732,93.75,78,14,0
2026-04-16 23:30:00,93.749,93.77,93.718,93.718,93,14,0
2026-04-16 23:45:00,93.715,93.735,93.679,93.69,137,14,0
2026-04-17 00:00:00,93.688,93.712,93.666,93.693,310,14,0
2026-04-17 00:15:00,93.69,93.737,93.687,93.728,218,14,0
2026-04-17 00:30:00,93.726,93.756,93.721,93.756,200,14,0
2026-04-17 00:45:00,93.754,93.796,93.742,93.786,308,14,0
2026-04-17 01:00:00,93.788,93.817,93.728,93.764,366,14,0
2026-04-17 01:15:00,93.762,93.801,93.735,93.735,199,14,0
2026-04-17 01:30:00,93.738,93.756,93.72,93.749,213,14,0
2026-04-17 01:45:00,93.747,93.759,93.729,93.757,196,14,0
2026-04-17 02:00:00,93.758,93.776,93.747,93.769,180,14,0
2026-04-17 02:15:00,93.77,93.792,93.764,93.769,145,14,0
2026-04-17 02:30:00,93.77,93.802,93.768,93.769,106,14,0
2026-04-17 02:45:00,93.768,93.787,93.762,93.764,99,14,0
2026-04-17 03:00:00,93.762,93.792,93.762,93.772,116,14,0
2026-04-17 03:15:00,93.773,93.776,93.738,93.745,126,14,0
2026-04-17 03:30:00,93.746,93.821,93.746,93.806,186,14,0
2026-04-17 03:45:00,93.807,93.813,93.793,93.793,98,14,0
2026-04-17 04:00:00,93.792,93.818,93.785,93.817,116,14,0
2026-04-17 04:15:00,93.818,93.866,93.815,93.861,170,14,0
2026-04-17 04:30:00,93.862,93.862,93.844,93.854,80,14,0
2026-04-17 04:45:00,93.853,93.894,93.847,93.89,105,14,0
2026-04-17 05:00:00,93.891,93.93,93.865,93.913,205,14,0
2026-04-17 05:15:00,93.915,93.933,93.908,93.919,134,14,0
2026-04-17 05:30:00,93.921,93.926,93.889,93.897,155,14,0
2026-04-17 05:45:00,93.896,93.914,93.892,93.9,111,14,0
2026-04-17 06:00:00,93.898,93.915,93.836,93.836,287,14,0
2026-04-17 06:15:00,93.835,93.85,93.801,93.803,218,14,0
2026-04-17 06:30:00,93.805,93.807,93.772,93.787,219,14,0
2026-04-17 06:45:00,93.789,93.795,93.745,93.752,191,14,0
2026-04-17 07:00:00,93.755,93.768,93.718,93.731,278,14,0
2026-04-17 07:15:00,93.73,93.77,93.728,93.767,221,14,0
2026-04-17 07:30:00,93.768,93.783,93.754,93.777,218,14,0
2026-04-17 07:45:00,93.78,93.807,93.773,93.78,243,14,0
2026-04-17 08:00:00,93.778,93.79,93.7,93.708,273,14,0
2026-04-17 08:15:00,93.709,93.739,93.699,93.734,193,14,0
2026-04-17 08:30:00,93.735,93.804,93.728,93.8,213,14,0
2026-04-17 08:45:00,93.797,93.807,93.772,93.779,218,14,0
2026-04-17 09:00:00,93.777,93.799,93.729,93.734,248,14,0
2026-04-17 09:15:00,93.735,93.767,93.732,93.748,151,14,0
2026-04-17 09:30:00,93.747,93.747,93.637,93.656,275,14,0
2026-04-17 09:45:00,93.655,93.655,93.602,93.613,238,14,0
2026-04-17 10:00:00,93.61,93.637,93.602,93.632,194,14,0
2026-04-17 10:15:00,93.633,93.661,93.629,93.657,109,14,0
2026-04-17 10:30:00,93.658,93.674,93.581,93.609,184,14,0
2026-04-17 10:45:00,93.61,93.655,93.601,93.628,202,14,0
2026-04-17 11:00:00,93.627,93.647,93.596,93.629,141,14,0
2026-04-17 11:15:00,93.626,93.666,93.624,93.655,139,14,0
2026-04-17 11:30:00,93.657,93.715,93.655,93.712,156,14,0
