time,open,high,low,close,tick_volume,spread,real_volume
2026-04-16 20:15:00,116.169,116.197,116.166,116.186,116,17,0
2026-04-16 20:30:00,116.184,116.194,116.144,116.182,111,17,0
2026-04-16 20:45:00,116.178,116.18,116.132,116.141,84,17,0
2026-04-16 21:00:00,116.128,116.139,116.128,116.129,12,58,0
2026-04-16 21:15:00,116.122,116.141,116.05,116.095,92,58,0
2026-04-16 21:30:00,116.092,116.124,116.079,116.122,151,40,0
2026-04-16 21:45:00,116.124,116.142,116.117,116.125,101,35,0
2026-04-16 22:00:00,116.129,116.135,116.067,116.085,89,38,0
2026-04-16 22:15:00,116.084,116.107,116.084,116.105,28,38,0
2026-04-16 22:30:00,116.108,116.15,116.108,116.138,40,38,0
2026-04-16 22:45:00,116.139,116.14,116.118,116.137,28,38,0
2026-04-16 23:00:00,116.148,116.178,116.142,116.149,45,17,0
2026-04-16 23:15:00,116.15,116.162,116.131,116.155,54,17,0
2026-04-16 23:30:00,116.158,116.196,116.158,116.186,60,17,0
2026-04-16 23:45:00,116.189,116.218,116.177,116.195,86,17,0
2026-04-17 00:00:00,116.198,116.222,116.18,116.191,177,17,0
2026-04-17 00:15:00,116.193,116.227,116.179,116.215,133,17,0
2026-04-17 00:30:00,116.213,116.225,116.206,116.219,88,17,0
2026-04-17 00:45:00,116.221,116.31,116.215,116.287,239,17,0
2026-04-17 01:00:00,116.29,116.352,116.252,116.272,299,17,0
2026-04-17 01:15:00,116.273,116.302,116.266,116.266,107,17,0
2026-04-17 01:30:00,116.264,116.299,116.264,116.288,118,17,0
2026-04-17 01:45:00,116.286,116.308,116.267,116.304,120,17,0
2026-04-17 02:00:00,116.305,116.366,116.302,116.351,118,17,0
2026-04-17 02:15:00,116.348,116.364,116.322,116.329,84,17,0
2026-04-17 02:30:00,116.33,116.34,116.314,116.322,63,17,0
2026-04-17 02:45:00,116.324,116.349,116.324,116.344,77,17,0
2026-04-17 03:00:00,116.342,116.371,116.341,116.362,70,17,0
2026-04-17 03:15:00,116.363,116.38,116.348,116.375,79,17,0
2026-04-17 03:30:00,116.379,116.408,116.379,116.391,84,17,0
2026-04-17 03:45:00,116.393,116.396,116.379,116.387,73,17,0
2026-04-17 04:00:00,116.386,116.404,116.379,116.403,62,17,0
2026-04-17 04:15:00,116.404,116.465,116.398,116.463,169,17,0
2026-04-17 04:30:00,116.462,116.474,116.443,116.467,71,17,0
2026-04-17 04:45:00,116.466,116.501,116.465,116.501,72,17,0
2026-04-17 05:00:00,116.503,116.575,116.5,116.552,173,17,0
2026-04-17 05:15:00,116.555,116.573,116.536,116.541,128,17,0
2026-04-17 05:30:00,116.542,116.574,116.539,116.567,112,17,0
2026-04-17 05:45:00,116.565,116.567,116.536,116.555,62,17,0
2026-04-17 06:00:00,116.553,116.585,116.534,116.555,207,17,0
2026-04-17 06:15:00,116.557,116.565,116.534,116.544,184,17,0
2026-04-17 06:30:00,116.545,116.554,116.493,116.497,187,17,0
2026-04-17 06:45:00,116.5,116.507,116.447,116.461,173,17,0
2026-04-17 07:00:00,116.46,116.463,116.376,116.39,237,17,0
2026-04-17 07:15:00,116.392,116.473,116.392,116.473,213,17,0
2026-04-17 07:30:00,116.475,116.492,116.436,116.446,232,17,0
2026-04-17 07:45:00,116.447,116.473,116.406,116.409,297,17,0
2026-04-17 08:00:00,116.406,116.442,116.377,116.389,247,17,0
2026-04-17 08:15:00,116.386,116.454,116.381,116.443,194,17,0
2026-04-17 08:30:00,116.445,116.445,116.408,116.422,168,17,0
2026-04-17 08:45:00,116.419,116.444,116.391,116.391,212,17,0
2026-04-17 09:00:00,116.388,116.405,116.371,116.383,199,17,0
2026-04-17 09:15:00,116.38,116.397,116.349,116.349,151,17,0
2026-04-17 09:30:00,116.347,116.347,116.279,116.295,235,17,0
2026-04-17 09:45:00,116.293,116.293,116.235,116.273,224,17,0
2026-04-17 10:00:00,116.272,116.29,116.254,116.258,185,17,0
2026-04-17 10:15:00,116.256,116.279,116.253,116.278,105,17,0
2026-04-17 10:30:00,116.276,116.301,116.255,116.301,164,17,0
2026-04-17 10:45:00,116.299,116.335,116.295,116.32,159,17,0
2026-04-17 11:00:00,116.317,116.359,116.317,116.337,106,17,0
2026-04-17 11:15:00,116.339,116.368,116.337,116.365,125,17,0
2026-04-17 11:30:00,116.367,116.436,116.365,116.42,166,17,0
2026-04-17 11:45:00,116.417,116.439,116.398,116.414,174,17,0
2026-04-17 12:00:00,116.416,116.422,116.357,116.362,252,17,0
2026-04-17 12:15:00,116.359,116.363,116.221,116.27,398,17,0
2026-04-17 12:30:00,116.268,116.276,116.188,116.238,434,17,0
2026-04-17 12:45:00,116.236,116.236,115.928,115.957,1546,17,0
2026-04-17 13:00:00,115.953,116.008,115.786,115.926,1266,17,0
2026-04-17 13:15:00,115.929,116.011,115.882,115.997,1117,17,0
2026-04-17 13:30:00,115.994,116.01,115.716,115.786,1042,17,0
2026-04-17 13:45:00,115.783,115.855,115.704,115.729,958,17,0
2026-04-17 14:00:00,115.727,115.746,115.619,115.642,762,17,0
2026-04-17 14:15:00,115.64,115.66,115.551,115.617,753,17,0
2026-04-17 14:30:00,115.621,115.625,115.331,115.331,826,17,0
2026-04-17 14:45:00,115.328,115.506,115.309,115.496,837,17,0
2026-04-17 15:00:00,115.5,115.563,115.447,115.558,850,17,0
2026-04-17 15:15:00,115.56,115.641,115.505,115.633,600,17,0
2026-04-17 15:30:00,115.631,115.713,115.604,115.704,605,17,0
2026-04-17 15:45:00,115.703,115.714,115.626,115.667,510,17,0
2026-04-17 16:00:00,115.668,115.711,115.627,115.627,443,17,0
2026-04-17 16:15:00,115.629,115.629,115.549,115.628,344,17,0
2026-04-17 16:30:00,115.625,115.629,115.571,115.59,310,17,0
2026-04-17 16:45:00,115.588,115.636,115.562,115.625,264,17,0
2026-04-17 17:00:00,115.627,115.692,115.623,115.669,471,17,0
2026-04-17 17:15:00,115.667,115.696,115.626,115.695,470,17,0
2026-04-17 17:30:00,115.697,115.724,115.68,115.692,286,17,0
2026-04-17 17:45:00,115.693,115.703,115.657,115.687,201,17,0
2026-04-17 18:00:00,115.688,115.743,115.674,115.73,212,17,0
2026-04-17 18:15:00,115.727,115.736,115.631,115.683,258,17,0
2026-04-17 18:30:00,115.682,115.76,115.677,115.75,251,17,0
2026-04-17 18:45:00,115.752,115.817,115.752,115.817,304,17,0
2026-04-17 19:00:00,115.818,115.848,115.79,115.821,289,17,0
2026-04-17 19:15:00,115.823,115.849,115.809,115.845,157,17,0
2026-04-17 19:30:00,115.846,115.888,115.829,115.874,217,17,0
2026-04-17 19:45:00,115.873,115.882,115.789,115.797,274,17,0
2026-04-17 20:00:00,115.795,115.891,115.795,115.862,235,17,0
2026-04-17 20:15:00,115.864,115.925,115.853,115.898,147,17,0
