time,open,high,low,close,tick_volume,spread,real_volume
2024-12-13 13:15:00,20008.6,20012.5,20002.8,20007.1,165,254,0
2024-12-13 13:30:00,20007.0,20019.4,20002.4,20019.4,189,244,0
2024-12-13 13:45:00,20019.7,20022.6,20000.0,20004.6,200,242,0
2024-12-13 14:00:00,20003.8,20004.6,19979.6,19980.6,189,246,0
2024-12-13 14:15:00,19981.6,19991.3,19972.7,19973.2,229,247,0
2024-12-13 14:30:00,19976.6,19978.7,19880.5,19914.1,638,258,0
2024-12-13 14:45:00,19910.7,19923.9,19856.9,19861.0,455,249,0
2024-12-13 15:00:00,19861.7,19871.2,19834.8,19862.7,500,248,0
2024-12-13 15:15:00,19864.4,19882.4,19856.5,19865.8,432,254,0
2024-12-13 15:30:00,19866.0,19886.7,19856.9,19881.0,396,254,0
2024-12-13 15:45:00,19879.8,19891.0,19866.0,19871.3,420,256,0
2024-12-13 16:00:00,19872.2,19891.8,19843.6,19873.2,446,251,0
2024-12-13 16:15:00,19875.2,19885.8,19853.2,19854.5,335,247,0
2024-12-13 16:30:00,19855.5,19888.6,19855.5,19877.7,373,244,0
2024-12-13 16:45:00,19879.0,19896.5,19873.8,19884.3,307,246,0
2024-12-13 17:00:00,19885.1,19898.3,19875.3,19885.1,314,257,0
2024-12-13 17:15:00,19883.2,19886.5,19876.0,19881.1,273,251,0
2024-12-13 17:30:00,19880.5,19907.2,19873.5,19896.2,280,249,0
2024-12-13 17:45:00,19895.2,19912.2,19887.3,19891.3,288,249,0
2024-12-13 18:00:00,19889.6,19901.3,19888.0,19896.6,292,245,0
2024-12-13 18:15:00,19897.5,19931.6,19895.9,19928.3,273,245,0
2024-12-13 18:30:00,19929.4,19929.8,19912.7,19919.2,261,238,0
2024-12-13 18:45:00,19918.2,19923.8,19904.8,19912.9,225,240,0
2024-12-13 19:00:00,19914.4,19929.8,19912.8,19926.2,92,238,0
2024-12-13 19:15:00,19926.9,19928.9,19923.4,19926.4,80,233,0
2024-12-13 19:30:00,19928.1,19936.0,19927.4,19930.3,74,232,0
2024-12-13 19:45:00,19931.1,19933.1,19922.2,19923.5,81,232,0
2024-12-13 20:00:00,19925.2,19928.3,19923.6,19925.6,77,229,0
2024-12-13 20:15:00,19924.6,19928.2,19918.5,19926.2,76,230,0
2024-12-13 20:30:00,19923.7,19927.4,19912.5,19913.3,99,230,0
2024-12-13 20:45:00,19912.6,19921.8,19902.2,19915.4,121,234,0
2024-12-15 23:00:00,19949.3,19965.7,19910.3,19913.4,204,402,0
2024-12-15 23:15:00,19914.1,19933.0,19911.0,19924.8,109,368,0
2024-12-15 23:30:00,19923.9,19940.5,19916.3,19936.3,150,336,0
2024-12-15 23:45:00,19937.9,19946.0,19931.9,19940.0,170,301,0
2024-12-16 00:00:00,19941.8,19953.6,19933.5,19939.0,224,283,0
2024-12-16 00:15:00,19940.7,19952.8,19937.9,19949.0,174,256,0
2024-12-16 00:30:00,19951.0,19957.1,19938.2,19940.2,143,256,0
2024-12-16 01:15:00,19945.7,19996.5,19926.4,19969.3,463,283,0
2024-12-16 01:30:00,19972.0,20054.0,19945.7,19960.8,807,273,0
2024-12-16 01:45:00,19960.3,20025.5,19939.8,19998.3,715,269,0
2024-12-16 02:00:00,19994.9,19994.9,19921.8,19958.3,637,269,0
2024-12-16 02:15:00,19955.3,19986.7,19913.0,19916.8,551,264,0
2024-12-16 02:30:00,19919.5,19930.2,19882.8,19891.7,556,262,0
2024-12-16 02:45:00,19888.8,19916.3,19859.9,19876.6,542,262,0
2024-12-16 03:00:00,19877.3,19879.6,19795.4,19829.7,585,265,0
2024-12-16 03:15:00,19831.4,19899.7,19827.3,19875.5,489,258,0
2024-12-16 03:30:00,19875.1,19885.0,19851.3,19862.8,282,274,0
2024-12-16 03:45:00,19863.2,19874.7,19845.2,19860.9,298,274,0
2024-12-16 04:00:00,19860.2,19862.2,19858.4,19859.3,37,269,0
2024-12-16 04:15:00,19860.3,19864.7,19856.7,19863.9,68,258,0
2024-12-16 05:00:00,19854.4,19879.3,19812.1,19857.6,511,256,0
2024-12-16 05:15:00,19857.9,19860.6,19817.4,19826.5,436,250,0
2024-12-16 05:30:00,19824.5,19846.9,19804.4,19811.1,410,251,0
2024-12-16 05:45:00,19808.5,19823.5,19797.4,19821.7,407,243,0
2024-12-16 06:00:00,19820.9,19823.6,19767.4,19770.5,443,243,0
2024-12-16 06:15:00,19769.8,19797.1,19765.8,19794.5,433,245,0
2024-12-16 06:30:00,19793.6,19795.3,19726.5,19744.3,453,249,0
2024-12-16 06:45:00,19744.1,19771.5,19737.4,19770.5,450,241,0
2024-12-16 07:00:00,19770.8,19787.5,19766.8,19771.9,263,244,0
2024-12-16 07:15:00,19772.6,19809.3,19766.2,19782.4,328,244,0
2024-12-16 07:30:00,19783.1,19787.1,19753.7,19765.8,316,248,0
2024-12-16 07:45:00,19764.9,19787.7,19759.9,19786.7,342,241,0
2024-12-16 08:00:00,19784.0,19808.6,19776.4,19777.5,352,242,0
2024-12-16 08:15:00,19779.0,19809.8,19776.2,19793.3,285,255,0
2024-12-16 09:15:00,19787.4,19791.2,19749.6,19776.6,319,286,0
2024-12-16 09:30:00,19776.1,19791.2,19763.0,19763.2,222,275,0
2024-12-16 09:45:00,19763.4,19774.1,19742.5,19743.6,224,266,0
2024-12-16 10:00:00,19744.6,19752.5,19731.3,19737.1,202,266,0
2024-12-16 10:15:00,19736.7,19741.1,19724.1,19740.1,207,256,0
2024-12-16 10:30:00,19742.0,19751.7,19726.7,19728.1,136,256,0
2024-12-16 10:45:00,19727.9,19741.9,19725.2,19741.9,151,259,0
2024-12-16 11:00:00,19740.0,19753.8,19704.0,19704.9,263,260,0
2024-12-16 11:15:00,19706.0,19720.9,19706.0,19719.6,135,291,0
2024-12-16 11:30:00,19720.6,19746.1,19720.4,19741.2,193,274,0
2024-12-16 11:45:00,19742.4,19742.5,19719.8,19722.0,182,262,0
2024-12-16 12:00:00,19722.3,19730.9,19718.0,19726.2,187,256,0
2024-12-16 12:15:00,19728.1,19730.3,19719.5,19721.4,129,251,0
2024-12-16 12:30:00,19720.7,19743.0,19711.7,19736.0,239,247,0
2024-12-16 12:45:00,19734.1,19738.5,19718.4,19722.3,220,247,0
2024-12-16 13:00:00,19724.2,19724.3,19703.7,19720.2,240,247,0
2024-12-16 13:15:00,19718.3,19728.8,19715.0,19717.8,220,244,0
2024-12-16 13:30:00,19717.0,19722.8,19707.3,19715.4,260,244,0
2024-12-16 13:45:00,19717.3,19718.4,19707.2,19712.1,202,247,0
2024-12-16 14:00:00,19712.6,19717.6,19686.3,19692.8,271,242,0
2024-12-16 14:15:00,19693.1,19698.7,19672.4,19693.4,309,244,0
2024-12-16 14:30:00,19691.4,19765.0,19676.0,19738.5,587,253,0
2024-12-16 14:45:00,19737.9,19773.2,19732.9,19766.7,447,256,0
2024-12-16 15:00:00,19768.6,19789.7,19744.0,19747.5,433,257,0
2024-12-16 15:15:00,19748.0,19749.2,19733.4,19736.1,400,250,0
2024-12-16 15:30:00,19737.1,19737.1,19695.1,19724.2,426,252,0
2024-12-16 15:45:00,19723.1,19742.0,19713.3,19721.3,378,250,0
2024-12-16 16:00:00,19721.6,19725.1,19699.5,19703.5,367,250,0
2024-12-16 16:15:00,19703.3,19703.3,19677.2,19689.9,330,248,0
2024-12-16 16:30:00,19690.6,19702.9,19683.3,19696.0,356,236,0
2024-12-16 16:45:00,19696.9,19733.9,19691.6,19733.8,288,238,0
2024-12-16 17:00:00,19733.0,19739.9,19718.5,19734.2,286,247,0
2024-12-16 17:15:00,19733.6,19741.2,19719.2,19725.0,255,250,0
2024-12-16 17:30:00,19724.6,19737.0,19715.1,19723.3,272,252,0
2024-12-16 17:45:00,19724.5,19728.3,19709.8,19717.7,250,246,0
2024-12-16 18:00:00,19716.9,19719.2,19704.5,19706.5,204,243,0
2024-12-16 18:15:00,19705.5,19707.8,19696.9,19701.0,182,242,0
2024-12-16 18:30:00,19700.8,19702.2,19685.1,19697.9,216,237,0
2024-12-16 18:45:00,19698.1,19729.6,19692.0,19729.1,252,238,0
2024-12-16 19:00:00,19729.7,19729.7,19719.0,19719.9,61,236,0
2024-12-16 19:15:00,19720.9,19721.9,19708.6,19710.2,61,231,0
2024-12-16 19:30:00,19711.2,19719.2,19709.6,19714.3,55,228,0
2024-12-16 19:45:00,19713.6,19716.3,19711.6,19714.6,44,228,0
2024-12-16 20:00:00,19713.7,19717.4,19708.9,19714.5,58,226,0
2024-12-16 20:15:00,19713.8,19714.5,19697.8,19698.7,61,222,0
2024-12-16 20:30:00,19696.0,19700.7,19694.0,19695.2,56,238,0
2024-12-16 20:45:00,19695.9,19697.1,19680.4,19686.9,131,233,0
2024-12-16 21:00:00,19686.3,19690.0,19671.3,19671.3,57,236,0
2024-12-16 21:15:00,19672.1,19672.1,19657.4,19658.0,47,258,0
2024-12-16 21:30:00,19659.0,19664.4,19658.3,19664.4,61,253,0
2024-12-16 21:45:00,19663.7,19666.6,19649.8,19654.3,51,249,0
2024-12-16 23:00:00,19664.0,19677.4,19660.2,19677.4,115,272,0
2024-12-16 23:15:00,19678.3,19684.4,19672.7,19681.0,93,265,0
2024-12-16 23:30:00,19680.1,19687.8,19676.3,19684.5,88,262,0
2024-12-16 23:45:00,19685.4,19691.7,19683.9,19685.4,100,256,0
2024-12-17 00:00:00,19684.4,19691.7,19674.3,19677.3,113,252,0
2024-12-17 00:15:00,19678.1,19682.1,19675.9,19677.1,80,261,0
2024-12-17 00:30:00,19676.1,19694.6,19676.1,19694.6,77,260,0
2024-12-17 01:15:00,19680.6,19712.4,19655.8,19677.3,466,272,0
2024-12-17 01:30:00,19680.3,19742.0,19648.2,19665.9,790,262,0
2024-12-17 01:45:00,19662.9,19763.5,19617.8,19754.4,761,263,0
2024-12-17 02:00:00,19751.4,19794.4,19708.1,19759.8,750,268,0
2024-12-17 02:15:00,19763.2,19790.4,19728.1,19750.1,643,259,0
2024-12-17 02:30:00,19750.4,19761.9,19676.6,19697.7,546,253,0
2024-12-17 02:45:00,19698.7,19708.4,19639.2,19662.9,576,255,0
2024-12-17 03:00:00,19660.4,19681.3,19636.9,19653.6,528,254,0
