time,open,high,low,close,tick_volume,spread,real_volume
2025-04-14 20:15:00,0.58671,0.58701,0.58638,0.58701,169,8,0
2025-04-14 20:30:00,0.58702,0.58751,0.58702,0.58717,216,8,0
2025-04-14 20:45:00,0.58719,0.58726,0.58695,0.5872,159,8,0
2025-04-14 21:00:00,0.58722,0.58726,0.58687,0.58695,148,12,0
2025-04-14 21:15:00,0.58699,0.58702,0.58625,0.58685,221,82,0
2025-04-14 21:30:00,0.58684,0.58691,0.58574,0.58644,273,96,0
2025-04-14 21:45:00,0.58643,0.58651,0.58593,0.58601,184,26,0
2025-04-14 22:00:00,0.58624,0.58645,0.58593,0.58632,179,46,0
2025-04-14 22:15:00,0.58634,0.58666,0.5863,0.58634,119,29,0
2025-04-14 22:30:00,0.58635,0.58641,0.58619,0.58636,90,29,0
2025-04-14 22:45:00,0.58638,0.58645,0.58607,0.58613,82,29,0
2025-04-14 23:00:00,0.58621,0.5869,0.58601,0.58687,117,12,0
2025-04-14 23:15:00,0.58687,0.58706,0.58681,0.58689,77,12,0
2025-04-14 23:30:00,0.58686,0.58697,0.58667,0.58682,157,12,0
2025-04-14 23:45:00,0.58678,0.5872,0.58669,0.58709,171,12,0
2025-04-15 00:00:00,0.58714,0.58794,0.58711,0.5879,231,12,0
2025-04-15 00:15:00,0.58789,0.5884,0.58783,0.58834,171,12,0
2025-04-15 00:30:00,0.58833,0.58852,0.58808,0.58838,176,12,0
2025-04-15 00:45:00,0.58834,0.58864,0.5883,0.58853,189,12,0
2025-04-15 01:00:00,0.58855,0.58855,0.58801,0.58841,191,12,0
2025-04-15 01:15:00,0.58845,0.5888,0.58834,0.5888,195,12,0
2025-04-15 01:30:00,0.58877,0.58889,0.58866,0.58884,175,12,0
2025-04-15 01:45:00,0.5888,0.58885,0.58857,0.58868,146,12,0
2025-04-15 02:00:00,0.58874,0.58874,0.58827,0.58831,138,12,0
2025-04-15 02:15:00,0.58828,0.58841,0.58816,0.58837,147,12,0
2025-04-15 02:30:00,0.58834,0.58839,0.58805,0.58823,155,12,0
2025-04-15 02:45:00,0.58821,0.58844,0.58806,0.5881,153,12,0
2025-04-15 03:00:00,0.58817,0.58856,0.58803,0.58842,142,12,0
2025-04-15 03:15:00,0.5884,0.58861,0.58821,0.58859,116,12,0
2025-04-15 03:30:00,0.58856,0.58884,0.58853,0.58876,94,12,0
2025-04-15 03:45:00,0.58877,0.58891,0.58876,0.58888,88,12,0
2025-04-15 04:00:00,0.58887,0.58899,0.5888,0.58899,76,12,0
2025-04-15 04:15:00,0.58896,0.58922,0.58883,0.5892,133,12,0
2025-04-15 04:30:00,0.58917,0.58926,0.58854,0.58858,161,12,0
2025-04-15 04:45:00,0.5886,0.58879,0.58824,0.58879,197,12,0
2025-04-15 05:00:00,0.58888,0.58916,0.5888,0.58897,181,8,0
2025-04-15 05:15:00,0.58898,0.58932,0.58889,0.5893,163,8,0
2025-04-15 05:30:00,0.58931,0.58943,0.58902,0.58913,137,8,0
2025-04-15 05:45:00,0.58914,0.58926,0.58875,0.58892,169,8,0
2025-04-15 06:00:00,0.58888,0.58893,0.58796,0.58869,306,8,0
2025-04-15 06:15:00,0.5887,0.58878,0.58843,0.58872,287,8,0
2025-04-15 06:30:00,0.58874,0.58902,0.58861,0.58888,207,8,0
2025-04-15 06:45:00,0.58886,0.589,0.58862,0.58883,219,8,0
2025-04-15 07:00:00,0.58884,0.5898,0.58871,0.58959,413,8,0
2025-04-15 07:15:00,0.5896,0.58976,0.58942,0.5895,353,8,0
2025-04-15 07:30:00,0.58949,0.58977,0.58929,0.58952,355,8,0
2025-04-15 07:45:00,0.58955,0.58963,0.5884,0.58858,286,8,0
2025-04-15 08:00:00,0.58865,0.58872,0.58724,0.58833,421,8,0
2025-04-15 08:15:00,0.58835,0.58857,0.58775,0.58817,386,8,0
2025-04-15 08:30:00,0.58817,0.58823,0.58681,0.58791,375,8,0
2025-04-15 08:45:00,0.58796,0.58797,0.58744,0.58791,276,8,0
2025-04-15 09:00:00,0.58793,0.58798,0.58722,0.58791,368,8,0
2025-04-15 09:15:00,0.58792,0.58798,0.58756,0.58797,337,8,0
2025-04-15 09:30:00,0.58798,0.58834,0.58796,0.58808,332,8,0
2025-04-15 09:45:00,0.58803,0.5885,0.58795,0.5885,283,8,0
2025-04-15 10:00:00,0.58847,0.58875,0.58819,0.5882,275,8,0
2025-04-15 10:15:00,0.58818,0.58831,0.58774,0.58774,288,8,0
2025-04-15 10:30:00,0.58778,0.5879,0.58751,0.58779,261,8,0
2025-04-15 10:45:00,0.58778,0.58787,0.5874,0.58768,248,8,0
2025-04-15 11:00:00,0.58767,0.5882,0.58737,0.58813,288,8,0
2025-04-15 11:15:00,0.58811,0.58873,0.58753,0.58871,290,8,0
2025-04-15 11:30:00,0.58872,0.58884,0.58804,0.58834,378,8,0
2025-04-15 11:45:00,0.58833,0.58835,0.58746,0.58773,361,8,0
2025-04-15 12:00:00,0.58778,0.58815,0.58754,0.58781,401,8,0
2025-04-15 12:15:00,0.58776,0.5883,0.58739,0.58793,444,8,0
2025-04-15 12:30:00,0.58792,0.58824,0.58682,0.58783,611,8,0
2025-04-15 12:45:00,0.58784,0.58824,0.5868,0.58824,449,8,0
2025-04-15 13:00:00,0.58822,0.58881,0.58822,0.58864,366,8,0
2025-04-15 13:15:00,0.58867,0.58899,0.58851,0.58898,387,8,0
2025-04-15 13:30:00,0.58899,0.58953,0.58834,0.58953,499,8,0
2025-04-15 13:45:00,0.5895,0.58988,0.58914,0.58949,551,8,0
2025-04-15 14:00:00,0.58952,0.59017,0.58915,0.58998,566,8,0
2025-04-15 14:15:00,0.58997,0.59008,0.58729,0.58762,684,8,0
2025-04-15 14:30:00,0.58755,0.58807,0.58699,0.58806,533,8,0
2025-04-15 14:45:00,0.58805,0.58813,0.58725,0.58786,602,8,0
2025-04-15 15:00:00,0.58785,0.58814,0.58734,0.58779,496,8,0
2025-04-15 15:15:00,0.58777,0.58801,0.58718,0.58731,362,8,0
2025-04-15 15:30:00,0.5873,0.58802,0.58727,0.58797,360,8,0
2025-04-15 15:45:00,0.588,0.58861,0.58763,0.58858,425,8,0
2025-04-15 16:00:00,0.58862,0.58875,0.58804,0.58828,329,8,0
2025-04-15 16:15:00,0.58831,0.58882,0.5883,0.58839,275,8,0
2025-04-15 16:30:00,0.58838,0.5888,0.58825,0.58878,320,8,0
2025-04-15 16:45:00,0.58876,0.58881,0.58751,0.58766,261,8,0
2025-04-15 17:00:00,0.58763,0.58876,0.58741,0.58876,281,8,0
2025-04-15 17:15:00,0.58877,0.58881,0.5882,0.5882,256,8,0
2025-04-15 17:30:00,0.58825,0.58878,0.58825,0.58878,219,8,0
2025-04-15 17:45:00,0.58877,0.58888,0.58823,0.58857,219,8,0
2025-04-15 18:00:00,0.58858,0.58869,0.58829,0.58841,241,8,0
2025-04-15 18:15:00,0.58842,0.58854,0.58801,0.58817,248,8,0
2025-04-15 18:30:00,0.58819,0.58872,0.58805,0.58855,210,8,0
2025-04-15 18:45:00,0.58856,0.58874,0.5883,0.5887,225,8,0
2025-04-15 19:00:00,0.58869,0.58883,0.58847,0.58883,138,8,0
2025-04-15 19:15:00,0.58884,0.58898,0.58882,0.58893,118,8,0
2025-04-15 19:30:00,0.58891,0.58904,0.5886,0.58882,166,8,0
2025-04-15 19:45:00,0.58883,0.58927,0.58874,0.58922,180,8,0
2025-04-15 20:00:00,0.58921,0.58982,0.58918,0.58975,130,8,0
2025-04-15 20:15:00,0.58974,0.59004,0.58971,0.5899,101,8,0
2025-04-15 20:30:00,0.58992,0.59003,0.58971,0.58996,109,8,0
2025-04-15 20:45:00,0.58994,0.59005,0.58966,0.58968,126,8,0
2025-04-15 21:00:00,0.5897,0.58979,0.58964,0.58967,135,22,0
2025-04-15 21:15:00,0.5897,0.58978,0.58887,0.58908,81,24,0
2025-04-15 21:30:00,0.58911,0.58943,0.58911,0.58937,325,68,0
2025-04-15 21:45:00,0.58936,0.58942,0.58898,0.58898,199,16,0
2025-04-15 22:00:00,0.58883,0.5891,0.58801,0.58864,219,41,0
2025-04-15 22:15:00,0.58863,0.58919,0.58831,0.58883,187,29,0
2025-04-15 22:30:00,0.58882,0.5891,0.58845,0.58855,182,29,0
2025-04-15 22:45:00,0.58844,0.58865,0.58815,0.58853,216,29,0
2025-04-15 23:00:00,0.58862,0.58874,0.58749,0.58765,321,12,0
2025-04-15 23:15:00,0.58771,0.58813,0.58767,0.58799,210,12,0
2025-04-15 23:30:00,0.58797,0.58807,0.58761,0.58793,212,12,0
2025-04-15 23:45:00,0.58792,0.58813,0.58771,0.58794,190,12,0
2025-04-16 00:00:00,0.58789,0.58805,0.58654,0.58665,366,12,0
2025-04-16 00:15:00,0.58667,0.58722,0.58645,0.58694,328,12,0
2025-04-16 00:30:00,0.5868,0.58693,0.58623,0.58672,286,12,0
2025-04-16 00:45:00,0.58677,0.58681,0.5864,0.58659,318,12,0
2025-04-16 01:00:00,0.58664,0.58674,0.5863,0.5866,268,12,0
2025-04-16 01:15:00,0.58661,0.58666,0.58615,0.58651,203,12,0
2025-04-16 01:30:00,0.58654,0.58668,0.5861,0.58633,230,12,0
2025-04-16 01:45:00,0.5863,0.58662,0.58622,0.58662,164,12,0
2025-04-16 02:00:00,0.5866,0.58667,0.58626,0.58632,208,12,0
2025-04-16 02:15:00,0.58631,0.58658,0.5861,0.5864,182,12,0
2025-04-16 02:30:00,0.58638,0.58673,0.58628,0.58647,147,12,0
2025-04-16 02:45:00,0.58652,0.58692,0.58646,0.5866,164,12,0
2025-04-16 03:00:00,0.58651,0.58655,0.58621,0.58655,140,12,0
2025-04-16 03:15:00,0.58653,0.58675,0.58612,0.58647,225,12,0
2025-04-16 03:30:00,0.58644,0.5866,0.58548,0.58586,270,12,0
2025-04-16 03:45:00,0.5858,0.58598,0.58485,0.58495,246,12,0
2025-04-16 04:00:00,0.58491,0.58586,0.58474,0.58586,349,12,0
2025-04-16 04:15:00,0.58588,0.58618,0.58588,0.58612,112,12,0
2025-04-16 04:30:00,0.58613,0.58633,0.58602,0.58614,160,12,0
2025-04-16 04:45:00,0.58621,0.58628,0.58565,0.5859,234,12,0
2025-04-16 05:00:00,0.58597,0.58598,0.58503,0.58548,301,8,0
2025-04-16 05:15:00,0.58551,0.58553,0.58457,0.58457,242,8,0
2025-04-16 05:30:00,0.58454,0.58492,0.58399,0.58444,327,8,0
2025-04-16 05:45:00,0.5845,0.58496,0.58388,0.58397,326,8,0
2025-04-16 06:00:00,0.58404,0.5849,0.58402,0.58455,441,8,0
2025-04-16 06:15:00,0.58454,0.58487,0.58425,0.58487,290,8,0
2025-04-16 06:30:00,0.58485,0.58529,0.58451,0.58475,376,8,0
2025-04-16 06:45:00,0.58468,0.58547,0.58454,0.58536,342,8,0
